Name,Version,Need Pedigree Review,Reason,Review Level,License Types,Declared License,License Status,Path
entities,1.1.2,false,Previously pedigree reviewed,2,BSD-2-Clause,BSD-2-Clause,Approved,entities
errno,0.1.7,false,Previously pedigree reviewed,2,MIT,MIT,Approved,errno
es-abstract,1.16.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,es-abstract
es-to-primitive,1.2.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,es-to-primitive
escape-html,1.0.3,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/escape-html
escape-string-regexp,1.0.5,false,Previously pedigree reviewed,2,MIT,MIT,Approved,escape-string-regexp
eslint-scope,4.0.3,false,Previously pedigree reviewed,2,BSD-2-Clause,BSD-2-Clause,Approved,eslint-scope
esprima,4.0.1,false,Previously pedigree reviewed,2,BSD-2-Clause,BSD-2-Clause,Approved,esprima
esrecurse,4.2.1,false,Previously pedigree reviewed,2,BSD-2-Clause,BSD-2-Clause,Approved,esrecurse
estraverse,4.3.0,false,Previously pedigree reviewed,2,BSD-2-Clause MIT,BSD-2-Clause,Approved,estraverse
etag,1.8.1,false,Exempt - Version closely related to 1.8.0,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/etag
eventemitter3,4.0.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,eventemitter3
events,3.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,events
eventsource,1.0.7,false,Exempt - Version closely related to 1.0.5,2,MIT,MIT,Approved,eventsource
evp_bytestokey,1.0.3,false,Previously pedigree reviewed,2,MIT,MIT,Approved,evp_bytestokey
execa,1.0.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,execa
exit,0.1.2,false,Previously pedigree reviewed,2,MIT,,Approved,exit
expand-brackets,0.1.5,false,Exempt - Version closely related to 0.1.4,2,MIT,MIT,Approved,dustjs-linkedin/node_modules/expand-brackets
expand-brackets,2.1.4,false,Previously pedigree reviewed,2,MIT,MIT,Approved,expand-brackets
expand-range,1.8.2,false,Exempt - Version closely related to 1.8.1,2,MIT,MIT,Approved,expand-range
expand-template,2.0.3,false,Previously pedigree reviewed,2,MIT WTFPL,WTFPL,Approved,expand-template
expand-tilde,2.0.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,expand-tilde
express,4.16.4,false,Exempt - Version closely related to 4.16.3,2,MIT gnuplot,MIT,Needs Review,express
express,4.17.1,false,Previously pedigree reviewed,2,MIT gnuplot,MIT,Needs Review,@kui-shell/proxy/app/node_modules/express
express-static-gzip,1.1.3,false,Previously pedigree reviewed,2,MIT,MIT,Approved,express-static-gzip
extend,3.0.2,false,Exempt - Version closely related to 3.0.1,2,MIT,MIT,Approved,extend
extend-shallow,2.0.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,braces/node_modules/extend-shallow
extend-shallow,3.0.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,extend-shallow
extglob,0.3.2,false,Exempt - Version closely related to 0.3.1,2,MIT,MIT,Approved,dustjs-linkedin/node_modules/extglob
extglob,2.0.4,false,Exempt - Version closely related to 2.0.3,2,MIT,MIT,Approved,extglob
extract-zip,1.6.7,false,Exempt - Version closely related to 1.6.5,2,BSD-2-Clause,BSD-2-Clause,Approved,extract-zip
extsprintf,1.3.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,extsprintf
fast-deep-equal,2.0.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,fast-deep-equal
fast-json-stable-stringify,2.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,fast-json-stable-stringify
faye-websocket,0.10.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,faye-websocket
faye-websocket,0.11.3,false,Exempt - Version closely related to 0.11.1,2,Apache-2.0,Apache-2.0,Approved,sockjs-client/node_modules/faye-websocket
fd-slicer,1.0.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,fd-slicer
figgy-pudding,3.5.1,false,Previously pedigree reviewed,2,ISC,ISC,Approved,figgy-pudding
file-loader,4.2.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,file-loader
filename-regex,2.0.1,false,Exempt - Version closely related to 2.0.0,2,MIT,MIT,Approved,filename-regex
fill-range,2.2.4,false,Exempt - Version closely related to 2.2.3,2,MIT,MIT,Approved,expand-range/node_modules/fill-range
fill-range,4.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,fill-range
finalhandler,1.1.1,false,Exempt - Version closely related to 1.1.0,2,MIT,MIT,Approved,express/node_modules/finalhandler
finalhandler,1.1.2,false,Exempt - Version closely related to 1.1.0,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/finalhandler
find-cache-dir,2.1.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,webpack/node_modules/find-cache-dir
find-cache-dir,3.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,find-cache-dir
find-up,3.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,import-local/node_modules/find-up
find-up,4.1.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,find-up
findup-sync,3.0.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,findup-sync
flatpickr,4.6.1,false,Previously pedigree reviewed,2,Apache-2.0 MIT,MIT,Approved,flatpickr
flush-write-stream,1.1.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,flush-write-stream
focus-trap,4.0.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,focus-trap
focus-trap-react,6.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,focus-trap-react
follow-redirects,1.5.10,false,Exempt - Version closely related to 1.5.1,2,MIT,MIT,Approved,follow-redirects
foo,unknown,true,New version and not exempt,,,,No license information available,app-module-path/test/src
for-in,1.0.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,for-in
for-own,0.1.5,false,Exempt - Version closely related to 0.1.3,2,MIT,MIT,Approved,for-own
forever-agent,0.6.1,false,Previously pedigree reviewed,2,Apache-2.0,Apache-2.0,Approved,forever-agent
form-data,2.3.3,false,Exempt - Version closely related to 2.3.1,2,MIT,MIT,Approved,form-data
forwarded,0.1.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/forwarded
fragment-cache,0.2.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,fragment-cache
fresh,0.5.2,false,Exempt - Version closely related to 0.5.0,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/fresh
from2,2.3.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,from2
fs-constants,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,fs-constants
fs-extra,8.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,fs-extra
fs-minipass,1.2.5,false,Exempt - Version closely related to 1.2.3,2,ISC,ISC,Approved,fsevents/node_modules/fs-minipass
fs-write-stream-atomic,1.0.10,false,Exempt - Version closely related to 1.0.8,2,ISC,ISC,Approved,fs-write-stream-atomic
fs.realpath,1.0.0,false,Previously pedigree reviewed,2,ISC KEYWORD MIT UNKNOWN,ISC,Needs Review,fs.realpath
fsevents,1.2.9,false,Exempt - Version closely related to 1.2.4,2,MIT,MIT,Approved,fsevents
function-bind,1.1.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,function-bind
gauge,2.7.4,false,Exempt - Version closely related to 2.7.3,2,ISC,ISC,Approved,fsevents/node_modules/gauge
get-caller-file,1.0.3,false,Exempt - Version closely related to 1.0.2,2,ISC UNKNOWN,ISC,Needs Review,webpack-dev-server/node_modules/get-caller-file
get-caller-file,2.0.5,false,Previously pedigree reviewed,2,ISC UNKNOWN,ISC,Needs Review,get-caller-file
get-stream,4.1.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,get-stream
get-value,2.0.6,false,Previously pedigree reviewed,2,MIT,MIT,Approved,get-value
getpass,0.1.7,false,Previously pedigree reviewed,2,MIT,MIT,Approved,getpass
github-from-package,0.0.0,true,New package and not exempt,,MIT,MIT,Approved,github-from-package
glob,7.1.3,false,Exempt - Version closely related to 7.1.4,2,ISC,ISC,Approved,fsevents/node_modules/glob
glob,7.1.5,false,Exempt - Version closely related to 7.1.4,2,CC-BY-SA-4.0 ISC KEYWORD UNKNOWN,ISC,Needs Review | Needs Legal Approval,glob
glob-base,0.3.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,glob-base
glob-parent,2.0.0,false,Previously pedigree reviewed,2,ISC,ISC,Approved,dustjs-linkedin/node_modules/glob-parent
glob-parent,3.1.0,false,Previously pedigree reviewed,2,ISC,ISC,Approved,glob-parent
global-modules,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,resolve-dir/node_modules/global-modules
global-modules,2.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,global-modules
global-prefix,1.0.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,global-prefix
global-prefix,3.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,global-modules/node_modules/global-prefix
globby,6.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,globby
graceful-fs,4.2.3,false,Exempt - Version closely related to 4.2.0,2,ISC,ISC,Approved,graceful-fs
graphql,14.5.8,true,New version and not exempt,,MIT,MIT,Approved,graphql
handle-thing,2.0.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,handle-thing
har-schema,2.0.0,false,Previously pedigree reviewed,2,ISC,ISC,Approved,har-schema
har-validator,5.1.3,false,Exempt - Version closely related to 5.1.0,2,MIT,MIT,Approved,har-validator
has,1.0.3,false,Exempt - Version closely related to 1.0.1,2,MIT,MIT,Approved,has
has-flag,3.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,has-flag
has-symbols,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,has-symbols
has-unicode,2.0.1,false,Previously pedigree reviewed,2,ISC,ISC,Approved,fsevents/node_modules/has-unicode
has-value,0.3.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,unset-value/node_modules/has-value
has-value,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,has-value
has-values,0.1.4,false,Previously pedigree reviewed,2,MIT,MIT,Approved,unset-value/node_modules/has-values
has-values,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,has-values
hash-base,3.0.4,false,Previously pedigree reviewed,2,MIT,MIT,Approved,hash-base
hash.js,1.1.7,false,Exempt - Version closely related to 1.1.5,2,Apache-2.0 MIT,MIT,Approved,hash.js
hmac-drbg,1.0.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,hmac-drbg
homedir-polyfill,1.0.3,false,Exempt - Version closely related to 1.0.1,2,MIT,MIT,Approved,homedir-polyfill
hpack.js,2.1.6,false,Previously pedigree reviewed,2,MIT,MIT,Approved,hpack.js
html-entities,1.2.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,html-entities
http-deceiver,1.2.7,false,Previously pedigree reviewed,2,MIT,MIT,Approved,http-deceiver
http-errors,1.6.3,false,Exempt - Version closely related to 1.6.1,2,MIT,MIT,Approved,express/node_modules/http-errors
http-errors,1.7.2,false,Previously pedigree reviewed,2,ISC MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/http-errors
http-parser-js,0.4.10,false,Exempt - Version closely related to 0.4.9,2,KEYWORD MIT UNKNOWN,MIT,Needs Review,http-parser-js
http-proxy,1.18.0,true,New version and not exempt,,MIT UNKNOWN,MIT,Needs Review,http-proxy
http-proxy-middleware,0.18.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,http-proxy-middleware
http-proxy-middleware,0.19.1,false,Exempt - Version closely related to 0.19.0,2,MIT,MIT,Approved,webpack-dev-server/node_modules/http-proxy-middleware
http-signature,1.2.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,http-signature
https-browserify,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,https-browserify
ibm-cos-sdk,1.5.3,true,New version and not exempt,,Apache-2.0 KEYWORD MIT UNKNOWN,Apache-2.0,Needs Review,ibm-cos-sdk
iconv-lite,0.4.23,false,Exempt - Version closely related to 0.4.13,2,MIT,MIT,Approved,express/node_modules/iconv-lite
iconv-lite,0.4.24,false,Exempt - Version closely related to 0.4.13,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/iconv-lite
icss-utils,4.1.1,false,Previously pedigree reviewed,2,ISC UNKNOWN,ISC,Needs Review,icss-utils
ieee754,1.1.13,false,Exempt - Version closely related to 1.1.8,2,BSD-3-Clause,BSD-3-Clause,Approved,ieee754
iferr,0.1.5,false,Previously pedigree reviewed,2,MIT,MIT,Approved,iferr
ignore-loader,0.1.2,false,Previously pedigree reviewed,2,MIT,,Approved,ignore-loader
ignore-walk,3.0.1,false,Exempt - Version closely related to 3.0.0,2,ISC,ISC,Approved,fsevents/node_modules/ignore-walk
iltorb,2.4.4,true,New package and not exempt,,MIT UNKNOWN,MIT,Needs Review,iltorb
import-local,2.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,import-local
imurmurhash,0.1.4,false,Previously pedigree reviewed,2,MIT,MIT,Approved,imurmurhash
indexes-of,1.0.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,indexes-of
infer-owner,1.0.4,false,Previously pedigree reviewed,2,ISC,ISC,Approved,infer-owner
inflight,1.0.6,false,Previously pedigree reviewed,2,ISC,ISC,Approved,fsevents/node_modules/inflight
inherits,2.0.1,false,Exempt - Version closely related to 2.0.3,2,ISC,ISC,Approved,assert/node_modules/inherits
inherits,2.0.3,false,Previously pedigree reviewed,2,ISC,ISC,Approved,@kui-shell/proxy/app/node_modules/inherits
inherits,2.0.4,false,Exempt - Version closely related to 2.0.3,2,ISC,ISC,Approved,inherits
ini,1.3.5,false,Exempt - Version closely related to 1.3.4,2,ISC,ISC,Approved,fsevents/node_modules/ini
internal-ip,4.3.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,internal-ip
interpret,1.2.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,interpret
invalid main,unknown,true,New package and not exempt,,,,No license information available,resolve/test/resolver/invalid_main
invariant,2.2.4,false,Previously pedigree reviewed,2,MIT,MIT,Approved,invariant
invert-kv,1.0.0,false,Previously pedigree reviewed,2,,MIT,Approved | Reference Only,invert-kv
invert-kv,2.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,webpack-cli/node_modules/invert-kv
ip,1.1.5,false,Exempt - Version closely related to 1.1.4,2,MIT,MIT,Approved,ip
ip-regex,2.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,ip-regex
ipaddr.js,1.9.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/ipaddr.js
is-absolute-url,3.0.3,false,Exempt - Expected license matched,2,MIT,MIT,Approved,is-absolute-url
is-accessor-descriptor,0.1.6,false,Previously pedigree reviewed,2,MIT,MIT,Approved,is-accessor-descriptor
is-accessor-descriptor,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,base/node_modules/is-accessor-descriptor
is-arguments,1.0.4,true,New package and not exempt,,MIT,MIT,Approved,is-arguments
is-binary-path,1.0.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,is-binary-path
is-buffer,1.1.6,false,Previously pedigree reviewed,2,MIT,MIT,Approved,dustjs-linkedin/node_modules/is-buffer
is-buffer,2.0.4,false,Exempt - Version closely related to 2.0.3,2,MIT,MIT,Approved,is-buffer
is-callable,1.1.4,false,Exempt - Version closely related to 1.1.3,2,MIT,MIT,Approved,is-callable
is-data-descriptor,0.1.4,false,Previously pedigree reviewed,2,MIT,MIT,Approved,is-data-descriptor
is-data-descriptor,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,base/node_modules/is-data-descriptor
is-date-object,1.0.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,is-date-object
is-descriptor,0.1.6,false,Previously pedigree reviewed,2,MIT,MIT,Approved,is-descriptor
is-descriptor,1.0.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,base/node_modules/is-descriptor
is-dotfile,1.0.3,false,Exempt - Version closely related to 1.0.2,2,MIT,MIT,Approved,is-dotfile
is-equal-shallow,0.1.3,false,Previously pedigree reviewed,2,MIT,MIT,Approved,is-equal-shallow
is-extendable,0.1.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,is-extendable
is-extendable,1.0.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,extend-shallow/node_modules/is-extendable
is-extglob,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,dustjs-linkedin/node_modules/is-extglob
is-extglob,2.1.1,false,Exempt - Version closely related to 2.1.0,2,MIT,MIT,Approved,is-extglob
is-fullwidth-code-point,1.0.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,fsevents/node_modules/is-fullwidth-code-point
is-fullwidth-code-point,2.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,webpack-cli/node_modules/is-fullwidth-code-point
is-glob,2.0.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,dustjs-linkedin/node_modules/is-glob
is-glob,3.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,glob-parent/node_modules/is-glob
is-glob,4.0.1,false,Exempt - Version closely related to 4.0.0,2,MIT,MIT,Approved,is-glob
is-number,2.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,expand-range/node_modules/is-number
is-number,3.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,is-number
is-number,4.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,randomatic/node_modules/is-number
is-path-cwd,2.2.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,is-path-cwd
is-path-in-cwd,2.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,is-path-in-cwd
is-path-inside,2.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,is-path-inside
is-plain-object,2.0.4,false,Previously pedigree reviewed,2,MIT,MIT,Approved,is-plain-object
is-posix-bracket,0.1.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,is-posix-bracket
is-primitive,2.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,is-primitive
is-regex,1.0.4,false,Previously pedigree reviewed,2,MIT,MIT,Approved,is-regex
is-stream,1.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,is-stream
is-symbol,1.0.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,is-symbol
is-typedarray,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,is-typedarray
is-windows,1.0.2,false,Exempt - Version closely related to 1.0.0,2,MIT,MIT,Approved,is-windows
is-wsl,1.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,is-wsl
isarray,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,fsevents/node_modules/isarray
isexe,2.0.0,false,Previously pedigree reviewed,2,ISC,ISC,Approved,isexe
isobject,2.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,expand-range/node_modules/isobject
isobject,3.0.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,isobject
isstream,0.1.2,false,Exempt - Expected license matched,2,MIT,MIT,Approved,isstream
iterall,1.2.2,false,Exempt - Expected license matched,2,MIT,MIT,Approved,iterall
jest-worker,24.9.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,jest-worker
jmespath,0.15.0,false,Previously pedigree reviewed,2,Apache-2.0 NAIST,,Approved,jmespath
js-tokens,4.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,js-tokens
js-yaml,3.13.1,false,Exempt - Version closely related to 3.13.0,2,MIT,MIT,Approved,js-yaml
jsbn,0.1.1,false,Exempt - Version closely related to 0.1.0,2,KEYWORD MIT Other-Approved UNKNOWN,MIT,Needs Review,jsbn
json-parse-better-errors,1.0.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,json-parse-better-errors
json-schema,0.2.3,false,Previously pedigree reviewed,2,,,No license information available,json-schema
json-schema-traverse,0.4.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,json-schema-traverse
json-stringify-safe,5.0.1,false,Previously pedigree reviewed,2,ISC,ISC,Approved,json-stringify-safe
json3,3.3.3,true,New version and not exempt,,MIT UNKNOWN,MIT,Needs Review,json3
json5,0.5.1,false,Exempt - Version closely related to 0.5.0,2,MIT X11,MIT,Approved,svg-inline-loader/node_modules/json5
json5,1.0.1,false,Previously pedigree reviewed,2,MIT UNKNOWN,MIT,Needs Review,json5
jsonfile,4.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,jsonfile
jsprim,1.4.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,jsprim
killable,1.0.1,false,Exempt - Version closely related to 1.0.0,2,ISC,ISC,Approved,killable
kind-of,3.2.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,dustjs-linkedin/node_modules/kind-of
kind-of,4.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,has-values/node_modules/kind-of
kind-of,5.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,is-descriptor/node_modules/kind-of
kind-of,6.0.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,kind-of
lcid,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,lcid
lcid,2.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,webpack-cli/node_modules/lcid
loader-runner,2.4.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,loader-runner
loader-utils,0.2.17,false,Exempt - Version closely related to 0.2.16,2,MIT,MIT,Approved,svg-inline-loader/node_modules/loader-utils
loader-utils,1.2.3,false,Previously pedigree reviewed,2,MIT,MIT,Approved,loader-utils
locate-path,3.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,import-local/node_modules/locate-path
locate-path,5.0.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,locate-path
lodash,4.17.15,false,Exempt - Version closely related to 4.17.11,2,CC0-1.0 KEYWORD MIT UNKNOWN,MIT,Needs Review,lodash
lodash.debounce,4.0.8,false,Previously pedigree reviewed,2,CC0-1.0 KEYWORD MIT UNKNOWN,MIT,Needs Review,lodash.debounce
lodash.isequal,4.5.0,false,Previously pedigree reviewed,2,CC0-1.0 KEYWORD MIT UNKNOWN,MIT,Needs Review,lodash.isequal
lodash.omit,4.5.0,false,Previously pedigree reviewed,2,CC0-1.0 KEYWORD MIT UNKNOWN,MIT,Needs Review,lodash.omit
loglevel,1.6.4,false,Exempt - Version closely related to 1.6.1,2,MIT,MIT,Approved,loglevel
loose-envify,1.4.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,loose-envify
lru-cache,5.1.1,false,Previously pedigree reviewed,2,ISC,ISC,Approved,lru-cache
make-dir,2.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,webpack/node_modules/make-dir
make-dir,3.0.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,make-dir
mamacro,0.0.3,false,Previously pedigree reviewed,2,,MIT,Approved | Reference Only,mamacro
map-age-cleaner,0.1.3,false,Previously pedigree reviewed,2,MIT,MIT,Approved,map-age-cleaner
map-cache,0.2.2,false,Previously pedigree reviewed,2,MIT,MIT,Approved,map-cache
map-visit,1.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,map-visit
marked,0.7.0,false,Previously pedigree reviewed,2,BSD-3-Clause KEYWORD MIT UNKNOWN,MIT,Needs Review,marked
math-random,1.0.4,false,Exempt - Version closely related to 1.0.1,2,MIT,MIT,Approved,math-random
md5.js,1.3.5,false,Exempt - Version closely related to 1.3.4,2,MIT,MIT,Approved,md5.js
media-typer,0.3.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/media-typer
mem,4.3.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,mem
memory-fs,0.4.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,memory-fs
memory-fs,0.5.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,enhanced-resolve/node_modules/memory-fs
merge-descriptors,1.0.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/merge-descriptors
merge-stream,2.0.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,merge-stream
methods,1.1.2,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/methods
micromatch,2.3.11,false,Exempt - Version closely related to 2.3.7,2,MIT,MIT,Approved,dustjs-linkedin/node_modules/micromatch
micromatch,3.1.10,false,Exempt - Version closely related to 3.1.4,2,MIT,MIT,Approved,micromatch
miller-rabin,4.0.1,false,Exempt - Version closely related to 4.0.0,2,MIT,MIT,Approved,miller-rabin
mime,1.4.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,express/node_modules/mime
mime,1.6.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/mime
mime,2.4.4,false,Exempt - Version closely related to 2.4.0,2,MIT,MIT,Approved,webpack-dev-middleware/node_modules/mime
mime-db,1.40.0,false,Previously pedigree reviewed,2,AML MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/mime-db
mime-types,2.1.24,false,Exempt - Version closely related to 2.1.11,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/mime-types
mimic-fn,2.1.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,mimic-fn
mimic-response,2.0.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,mimic-response
minimalistic-assert,1.0.1,false,Previously pedigree reviewed,2,ISC,ISC,Approved,minimalistic-assert
minimalistic-crypto-utils,1.0.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,minimalistic-crypto-utils
minimatch,3.0.4,false,Exempt - Version closely related to 3.0.3,2,ISC,ISC,Approved,fsevents/node_modules/minimatch
minimist,0.0.8,false,Exempt - Version closely related to 0.0.10,2,MIT,MIT,Approved,fsevents/node_modules/minimist
minimist,1.2.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,fsevents/node_modules/rc/node_modules/minimist
minipass,2.3.5,false,Exempt - Version closely related to 2.3.3,2,ISC,ISC,Approved,fsevents/node_modules/minipass
minizlib,1.2.1,false,Previously pedigree reviewed,2,MIT UNKNOWN,MIT,Needs Review,fsevents/node_modules/minizlib
mississippi,3.0.0,false,Previously pedigree reviewed,2,BSD-2-Clause,BSD-2-Clause,Approved,mississippi
mixin-deep,1.3.2,false,Exempt - Version closely related to 1.3.0,2,MIT,MIT,Approved,mixin-deep
mkdirp,0.5.1,false,Previously pedigree reviewed,2,UNKNOWN X11,MIT,Needs Review,fsevents/node_modules/mkdirp
moment,2.24.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,moment
monaco-editor,0.14.3,true,New version and not exempt,,Apache-2.0 MIT PostgreSQL,MIT,Approved,monaco-editor
monorepo-symlink-test,0.0.0,false,Previously pedigree reviewed,2,,MIT,Approved | Reference Only,resolve/test/resolver/multirepo
morgan,1.9.1,false,Exempt - Version closely related to 1.9.0,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/morgan
move-concurrently,1.0.1,false,Previously pedigree reviewed,2,ISC,ISC,Approved,move-concurrently
ms,2.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/body-parser/node_modules/ms
ms,2.1.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/send/node_modules/ms
ms,2.1.2,false,Exempt - Version closely related to 2.1.1,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/ms
multicast-dns,6.2.3,false,Previously pedigree reviewed,2,MIT,MIT,Approved,multicast-dns
