Name,Version,Need Pedigree Review,Reason,Review Level,License Types,Declared License,License Status,Path
@webassemblyjs/wasm-edit,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/wasm-edit
@webassemblyjs/wasm-gen,1.7.10,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@webassemblyjs/wasm-gen/webassemblyjs-wasm-gen-1.7.10.tgz/webassemblyjs-wasm-gen-1.7.10.tar/package
@webassemblyjs/wasm-gen,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/wasm-gen
@webassemblyjs/wasm-opt,1.7.10,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@webassemblyjs/wasm-opt/webassemblyjs-wasm-opt-1.7.10.tgz/webassemblyjs-wasm-opt-1.7.10.tar/package
@webassemblyjs/wasm-opt,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/wasm-opt
@webassemblyjs/wasm-parser,1.7.10,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@webassemblyjs/wasm-parser/webassemblyjs-wasm-parser-1.7.10.tgz/webassemblyjs-wasm-parser-1.7.10.tar/package
@webassemblyjs/wasm-parser,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/wasm-parser
@webassemblyjs/wast-parser,1.7.10,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@webassemblyjs/wast-parser/webassemblyjs-wast-parser-1.7.10.tgz/webassemblyjs-wast-parser-1.7.10.tar/package
@webassemblyjs/wast-parser,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/wast-parser
@webassemblyjs/wast-printer,1.7.10,false,Previously pedigree reviewed,2,MIT,MIT,Approved,@webassemblyjs/wast-printer/webassemblyjs-wast-printer-1.7.10.tgz/webassemblyjs-wast-printer-1.7.10.tar/package
@webassemblyjs/wast-printer,1.8.5,false,Exempt - Expected license matched,2,MIT,MIT,Approved,@webassemblyjs/wast-printer
@xtuc/ieee754,1.2.0,false,Previously pedigree reviewed,2,BSD-3-Clause,BSD-3-Clause,Approved,@xtuc/ieee754
@xtuc/long,4.2.2,false,Exempt - Version closely related to 4.2.1,2,Apache-2.0,Apache-2.0,Approved,@xtuc/long
abbrev,1.1.1,false,Exempt - Version closely related to 1.1.0,2,ISC KEYWORD MIT UNKNOWN,ISC,Needs Review,fsevents/node_modules/abbrev
accepts,1.3.7,false,Exempt - Version closely related to 1.3.3,2,MIT,MIT,Approved,@kui-shell/proxy/app/node_modules/accepts
acorn,6.3.0,false,Exempt - Expected license matched,2,MIT,MIT,Approved,acorn
ajv,6.10.2,false,Exempt - Version closely related to 6.10.0,2,BSD-2-Clause MIT,MIT,Approved,ajv
ajv-errors,1.0.1,false,Exempt - Version closely related to 1.0.0,2,MIT,MIT,Approved,ajv-errors
ajv-keywords,3.4.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,ajv-keywords
ansi-colors,3.2.4,false,Exempt - Version closely related to 3.2.3,2,MIT,MIT,Approved,ansi-colors
ansi-html,0.0.7,false,Previously pedigree reviewed,2,Apache-2.0,Apache-2.0,Approved,ansi-html
ansi-regex,2.1.1,false,Previously pedigree reviewed,2,MIT,MIT,Approved,ansi-regex
ansi-regex,3.0.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,webpack-dev-server/node_modules/cliui/node_modules/ansi-regex
ansi-regex,4.1.0,false,Previously pedigree reviewed,2,MIT,MIT,Approved,strip-ansi/node_modules/ansi-regex
ansi-styles,3.2.1,false,Exempt - Version closely related to 3.2.0,2,MIT,MIT,Approved,ansi-styles
ansi-to-html,0.6.11,true,New package and not exempt,,MIT,MIT,Approved,ansi-to-html
anymatch,1.3.2,false,Exempt - Version closely related to 1.3.0,2,ISC,ISC,Approved,dustjs-linkedin/node_modules/anymatch
